title,image,url
[Maps of Maine--various subjects Pi-Pz],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ME:16:ME16:ME_16_00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ME16/
[Maps of Kansas--cities and towns Se-Topeka 1882-1951,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ks:-0:65:ks-065:ks-065-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ks-065/
A night-club map of Harlem,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct007809.gif,https://www.loc.gov/resource/g3804n.ct007809/
"A hysterical map of the Grand Coulee Dam : all connected up with running water : added attraction, Dry Falls",https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003338.gif,https://www.loc.gov/resource/g4282g.ct003338/
The adventures of Huckleberry Finn from the book by Mark Twain : [Mississippi River],https://tile.loc.gov/storage-services/service/gmd/gmd404/g4042/g4042m/ct003556.gif,https://www.loc.gov/resource/g4042m.ct003556/
[Maps of Pennsylvania--various subjects Pb-Poss],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-0:27:pa-027:pa-027-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.pa-027/
[Maps of Hawaii--islands La--Maui to 1905],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:hi:-0:13:hi-013:hi-013-02-01/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolmaps.hi-013/
[Maps of Hawaii--islands La--Maui to 1905],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:hi:-0:13:hi-013:hi-013-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.hi-013/
"Bird's-eye view of the Conemaugh Valley from Nineveh to the lake, Johnstown, Pa. : from personal sketches and surveys of the Pennsylvania R.R. by permission",https://tile.loc.gov/storage-services/service/gmd/gmd382/g3824/g3824j/ct003257.gif,https://www.loc.gov/resource/g3824j.ct003257/
Scharf's International pictorial map of central Washington.,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/ct004563.gif,https://www.loc.gov/resource/g3851a.ct004563/
Triumph and liquidation : an essay and guide to a series of ten pictorial wall maps issued as posters to illustrate the military successes of the Red Army in the Russian Civil War of 1917-1922,,https://www.loc.gov/resource/g7001s.g2017588308/
