Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic,col. map 47 x 63 cm.,1908,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822z/ct003289.gif,"Scale ca. 1:20,000./Relief shown pictorially./Pictorial map./Shows garrison troops, garrison posts, roads connecting various stations in walled city of Zhaotong Fu, Yunnan Province./Hummel purchase 1930, no. 27./Available also through the Library of Congress Web site as a raster image./Previous call number: G7822.Z4A5 1820 .Z4 Vault/AACR2",http://hdl.loc.gov/loc.gmd/g7822z.ct003289,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1908 and 1911],chi,China--Zhaotong Diqu/Zhaotong Diqu (China),Zhaotong Diqu (China)--Maps/Fortification--China--Zhaotong Diqu--Maps/China--Zhaotong Diqu,Zhaotong Fu yu tu.
cartographic,1 ms. map : col. ; 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823l/ct003378.gif,"Scale ca. 1:25,000./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes text./Hummel purchase 1934, no. 25./Previous call number: G7823.L8C3 1767 .Y6 Vault Shelf/AACR2: 700/1",http://hdl.loc.gov/loc.gmd/g7823l.ct003378,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Luoning Xian/Luoning Xian (China),Rivers--China--Luoning Xian--Maps/Luoning Xian (China)--Maps/China--Luoning Xian,Yongning Xian he tu.
cartographic/collection,"43 map sheets in 23 folders in 1 drawer : some color, some photocopies ; various sizes",1757,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:39:me-039:me-039-00001/full/pct:12.5/0/default.jpg,"Most maps in this collection before 1800 are photocopies or facsimiles./This record covers single maps covering counties of Maine, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. These maps show  may also show various subjects, such as roads, topography, geology, hydrology, and recreation and tourism. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.me-039,,"[Various places] : [various publishers], [approximately 1757 to 1958]",eng,Maine/Kennebec County (Me.)/Knox County (Me.)/Lincoln County (Me.),Counties--Maine--Maps/Roads--Maine--Maps/Kennebec County (Me.)--Maps/Knox County (Me.)--Maps/Lincoln County (Me.)--Maps/United States--Maine,[Maps of Maine--counties Kennebec 1890--L]
cartographic/collection,"41 map sheets in 37 folders in 1 drawer : some color, some photocopies ; various sizes",1927,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-054/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-054,,"[Various places] : [various publishers], [1927-1967]",eng,California,California--Maps/United States--California,[Maps of California--various subjects Pi-Por]
cartographic,1 map : col. ; 57 x 84 cm.,1946,https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701j/ct003099.gif,Pictorial map./Shows scenes of land use and farming superimposed on a map of the United States./Available also through the Library of Congress Web site as a raster image.,http://hdl.loc.gov/loc.gmd/g3701j.ct003099,"Sample, Paul, 1896-1974./Associated American Artists.","[New York : Associated American Artists], c1946.",eng,United States,"Agriculture--United States--Maps/Land use, Rural--United States--Maps/Natural resources--United States--Maps/United States","Paul Sample's America, its soil"
cartographic,4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.,1697,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif,"Scales differ./Manuscript on silk./Relief shown pictorially./Pictorial map./Bird's-eye view./Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia./Available also through the Library of Congress Web site as a raster image./Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia./Hummel purchase 1930, no. 6./AACR2",http://hdl.loc.gov/loc.gmd/g7801r.ct002202a/http://hdl.loc.gov/loc.gmd/g7801r.ct002202b/http://hdl.loc.gov/loc.gmd/g7801r.ct002202c/http://hdl.loc.gov/loc.gmd/g7801r.ct002202d,,[Between 1697 and 1722],chi,"East Asia/Heihe Shi (China)/Siberia, Eastern (Russia)/Taiwan/Inner Mongolia (China)","Fortification--East Asia--Maps--Early works to 1800/Heihe Shi (China)--Maps--Early works to 1800/Siberia, Eastern (Russia)--Maps--Early works to 1800/Taiwan--Maps--Early works to 1800/Inner Mongolia (China)--Maps--Early works to 1800/East Asia/China--Heihe Shi/Russia--Siberia, Eastern/China--Inner Mongolia/Taiwan","[Aihun, Luosha, Taiwan, Nei Menggu tu]"
cartographic,"1 manuscript map : color, mounted on paper ; 55 x 99 cm + 1 manuscript drawing (color, mounted on cloth and laminated ; 39 x 52 cm)",1845,https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif,"Shows buildings pictorially./Pen-and-ink and watercolor./Oriented with north to the right./Folded vertically, with losses in the upper half./Profiles on verso: The hill east & west -- The hill north & south -- Shape of the road from one bridge to the other./Accompanying drawing shows three Shaker buildings, annotated, probably incorrectly, in pencil in lower margin as: 1. Hancock Mass. ; 2. Mt. Lebanon, South family, NY. ; 3. Mt. Lebanon, NY., Shaker meeting house./Available also through the Library of Congress Web site as a raster image.",http://hdl.loc.gov/loc.gmd/g3734a.ct003779r/http://hdl.loc.gov/loc.gmd/g3734a.ct003779v/http://hdl.loc.gov/loc.gmd/g3734a.ct003780,"Bussell, Joshua H., 1816-1900, cartographer.","[Alfred, Maine] : Joshua H. Bussell, August 28, 1845.",eng,Maine--Alfred/Alfred (Me. : Town),Shaker architecture--Maine--Alfred--Maps/Shaker architecture--Pictorial works/Alfred (Me. : Town)--Maps/United States--Maine--Alfred (Town),"A plan of Alfred, Maine"
cartographic,1 map : color ; 48 x 63 cm,1931,https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/ct003853.gif,"Includes ""Gangland dictionary.""/Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/g4104c.ct003853,,"[Chicago] : Bruce-Roberts, Inc., [1931], ©1931",eng,Illinois--Chicago,Gangsters--Illinois--Chicago--Maps/Crime--Illinois--Chicago--Maps/United States--Illinois--Chicago,"A map of Chicago's gangland : from authentic sources, designed to inculcate the most important principles of piety and virtue in young persons and graphically portray the evils and sin of large cities."
cartographic,1 online resource.,1581,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:6.25/0/default.jpg,"Title devised, in English, by Library staff./Original resource extent: 31 x 44 centimeters./Original resource at: University of Texas Libraries./Content in Central Nahuatl and Spanish./Description based on data extracted from World Digital Library, which may be extracted from partner institutions.",https://hdl.loc.gov/loc.wdl/wdl.502,,"[place of publication not identified] : [publisher not identified], 1581.",nah/spa,,"Mexico--Puebla--Cholula/1581/Art, Mexican/Aztec art/Manuscript maps/New Spain/Pictorial maps/Spain--Colonies","Cholula, Tlaxcala, Mexico."
cartographic,col. map on sheet 43 x 49 cm.,1888,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824c/ct003297.gif,"Scale ca. 1:5,000./Title from verso./Pictorial map./Pen-and-ink and watercolor./Hummel purchase 1930, no. 28./Available also through the Library of Congress Web site as a raster image./Previous call number: G7824.C435A5 1850 .L3 Vault/AACR2: 650/2; 700",http://hdl.loc.gov/loc.gmd/g7824c.ct003297,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.","[After Qing Guangxu 14 nian, 1888]",chi,Changyi Shi (China),Changyi Shi (China)--Maps/China--Changyi Shi,Laizhou Fu Changyi Xian cheng yuan tu.
