other_title,format,medium,date,contents,image_url,related_items,notes,repository,digital_id,contributors,source_collection,created_published,language,location,subjects,title,call_number,summary,genre,number_former_id,access_advisory
"['昭通府與圖.', 'Map of Zhaotong Prefecture']",['cartographic'],['col. map 47 x 63 cm.'],1908,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822z/ct003289.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822z/ct003289.gif#h=150&w=190', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7822:g7822z:ct003289/full/pct:12.5/0/default.jpg#h=738&w=933', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7822:g7822z:ct003289/full/pct:25/0/default.jpg#h=1477&w=1867']",,"['Scale ca. 1:20,000.', 'Relief shown pictorially.', 'Pictorial map.', 'Shows garrison troops, garrison posts, roads connecting various stations in walled city of Zhaotong Fu, Yunnan Province.', 'Hummel purchase 1930, no. 27.', 'Available also through the Library of Congress Web site as a raster image.', 'Previous call number: G7822.Z4A5 1820 .Z4 Vault', 'AACR2']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7822z.ct003289'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,[Between 1908 and 1911],['chi'],"['China--Zhaotong Diqu', 'Zhaotong Diqu (China)']","['Zhaotong Diqu (China)--Maps', 'Fortification--China--Zhaotong Diqu--Maps', 'China--Zhaotong Diqu']",Zhaotong Fu yu tu.,['G7822.Z4A5 1911 .Z4'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005052', 'https://www.loc.gov/item/5403623']",
"['永寧縣河圖.', 'Map of the river systems in Yongning County']",['cartographic'],['1 ms. map : col. ; 90 x 90 cm. fold. in cover 32 x 16 cm.'],1734,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823l/ct003378.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823l/ct003378.gif#h=150&w=183', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823l:ct003378/full/pct:12.5/0/default.jpg#h=1354&w=1650', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823l:ct003378/full/pct:25/0/default.jpg#h=2709&w=3300']",,"['Scale ca. 1:25,000.', 'Cover title.', 'Manuscript on silk.', 'Labels pasted on to show physical features.', 'Oriented with north to the bottom.', 'Relief shown pictorially.', 'Pictorial map.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes text.', 'Hummel purchase 1934, no. 25.', 'Previous call number: G7823.L8C3 1767 .Y6 Vault Shelf', 'AACR2: 700/1']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7823l.ct003378'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,[Between 1734 and 1779],['chi'],"['China--Luoning Xian', 'Luoning Xian (China)']","['Rivers--China--Luoning Xian--Maps', 'Luoning Xian (China)--Maps', 'China--Luoning Xian']",Yongning Xian he tu.,['G7823.L8C3 1779 .Y6'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005162', 'https://www.loc.gov/item/5403733']",
"['Maine title collection drawer 39', 'Maine title collection--counties Kennebec 1890--L']","['cartographic', 'collection']","['43 map sheets in 23 folders in 1 drawer : some color, some photocopies ; various sizes']",1757,,"['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:39:me-039:me-039-00001/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:39:me-039:me-039-00001/full/pct:12.5/0/default.jpg#h=575&w=396', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:39:me-039:me-039-00001/full/pct:25/0/default.jpg#h=1151&w=792']",,"['Most maps in this collection before 1800 are photocopies or facsimiles.', 'This record covers single maps covering counties of Maine, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. These maps show  may also show various subjects, such as roads, topography, geology, hydrology, and recreation and tourism. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.me-039'],,,"[Various places] : [various publishers], [approximately 1757 to 1958]",['eng'],"['Maine', 'Kennebec County (Me.)', 'Knox County (Me.)', 'Lincoln County (Me.)']","['Counties--Maine--Maps', 'Roads--Maine--Maps', 'Kennebec County (Me.)--Maps', 'Knox County (Me.)--Maps', 'Lincoln County (Me.)--Maps', 'United States--Maine']",[Maps of Maine--counties Kennebec 1890--L],['G3733 coll .M3 drawer 39'],,"['Maps', 'Pictorial maps', 'Road maps', 'Topographic maps', 'Tourist maps']",,
"['Alternate supplied title: California title collection drawer 54', 'Alternate supplied title: California title collection--various subjects Pi-Por']","['cartographic', 'collection']","['41 map sheets in 37 folders in 1 drawer : some color, some photocopies ; various sizes']",1927,,"['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:12.5/0/default.jpg#h=869&w=650', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:25/0/default.jpg#h=1738&w=1301']",,"['This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-054', 'https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-054']",,,"[Various places] : [various publishers], [1927-1967]",['eng'],['California'],"['California--Maps', 'United States--California']",[Maps of California--various subjects Pi-Por],['G4361 coll .M3 drawer 54'],,"['Maps', 'Pictorial maps']",,
"['America, its soil']",['cartographic'],['1 map : col. ; 57 x 84 cm.'],1946,,"['https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701j/ct003099.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701j/ct003099.gif#h=150&w=218', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd370:g3701:g3701j:ct003099/full/pct:12.5/0/default.jpg#h=1170&w=1700', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd370:g3701:g3701j:ct003099/full/pct:25/0/default.jpg#h=2341&w=3401']",,"['Pictorial map.', 'Shows scenes of land use and farming superimposed on a map of the United States.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g3701j.ct003099'],"['Sample, Paul, 1896-1974.', 'Associated American Artists.']",,"[New York : Associated American Artists], c1946.",['eng'],['United States'],"['Agriculture--United States--Maps', 'Land use, Rural--United States--Maps', 'Natural resources--United States--Maps', 'United States']","Paul Sample's America, its soil","['G3701.J1 1946 .S3', 'G3701.J1 1946 .S3 Copy 3. Mounted on cloth and laminated.', 'G3701.A5 coll .F3 Copy 1. Folder 793 of the Ethel M. Fair map collection']",,['Pictorial maps'],"['https://www.loc.gov/item/2012588336', 'https://www.loc.gov/item/5842053']",
"['[艾渾,羅刹,台灣,蒙古圖]', 'Pictorical maps of Aihun, Russia, Taiwan and Mongolia']",['cartographic'],['4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.'],1697,"['Aihun zhi di tu -- Luosha zhi di tu -- [Taiwan, Penghu Islands] -- [Inner Mongolia].']","['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif#h=150&w=274', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7801:g7801r:ct002202a/full/pct:12.5/0/default.jpg#h=839&w=1535', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7801:g7801r:ct002202a/full/pct:25/0/default.jpg#h=1678&w=3070']",,"['Scales differ.', 'Manuscript on silk.', 'Relief shown pictorially.', 'Pictorial map.', ""Bird's-eye view."", 'Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia.', 'Available also through the Library of Congress Web site as a raster image.', 'Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia.', 'Hummel purchase 1930, no. 6.', 'AACR2']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['http://hdl.loc.gov/loc.gmd/g7801r.ct002202a', 'http://hdl.loc.gov/loc.gmd/g7801r.ct002202b', 'http://hdl.loc.gov/loc.gmd/g7801r.ct002202c', 'http://hdl.loc.gov/loc.gmd/g7801r.ct002202d']",,,[Between 1697 and 1722],['chi'],"['East Asia', 'Heihe Shi (China)', 'Siberia, Eastern (Russia)', 'Taiwan', 'Inner Mongolia (China)']","['Fortification--East Asia--Maps--Early works to 1800', 'Heihe Shi (China)--Maps--Early works to 1800', 'Siberia, Eastern (Russia)--Maps--Early works to 1800', 'Taiwan--Maps--Early works to 1800', 'Inner Mongolia (China)--Maps--Early works to 1800', 'East Asia', 'China--Heihe Shi', 'Russia--Siberia, Eastern', 'China--Inner Mongolia', 'Taiwan']","[Aihun, Luosha, Taiwan, Nei Menggu tu]",['G7801.R4 1722 .A4'],,"['Pictorial maps', 'Early maps']","['https://www.loc.gov/item/gm71005078', 'https://www.loc.gov/item/5403649']",
,['cartographic'],"['1 manuscript map : color, mounted on paper ; 55 x 99 cm + 1 manuscript drawing (color, mounted on cloth and laminated ; 39 x 52 cm)']",1845,,"['https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif#h=150&w=265', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734a:ct003779r/full/pct:12.5/0/default.jpg#h=830&w=1469', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734a:ct003779r/full/pct:25/0/default.jpg#h=1660&w=2938']",,"['Shows buildings pictorially.', 'Pen-and-ink and watercolor.', 'Oriented with north to the right.', 'Folded vertically, with losses in the upper half.', 'Profiles on verso: The hill east & west -- The hill north & south -- Shape of the road from one bridge to the other.', 'Accompanying drawing shows three Shaker buildings, annotated, probably incorrectly, in pencil in lower margin as: 1. Hancock Mass. ; 2. Mt. Lebanon, South family, NY. ; 3. Mt. Lebanon, NY., Shaker meeting house.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['http://hdl.loc.gov/loc.gmd/g3734a.ct003779r', 'http://hdl.loc.gov/loc.gmd/g3734a.ct003779v', 'http://hdl.loc.gov/loc.gmd/g3734a.ct003780']","['Bussell, Joshua H., 1816-1900, cartographer.']",,"[Alfred, Maine] : Joshua H. Bussell, August 28, 1845.",['eng'],"['Maine--Alfred', 'Alfred (Me. : Town)']","['Shaker architecture--Maine--Alfred--Maps', 'Shaker architecture--Pictorial works', 'Alfred (Me. : Town)--Maps', 'United States--Maine--Alfred (Town)']","A plan of Alfred, Maine",['G3734.A432 1845 .B8'],,"['Manuscript maps', 'Pictorial maps']","['https://www.loc.gov/item/2013593116', 'https://www.loc.gov/item/18815464']",
,['cartographic'],['1 map : color ; 48 x 63 cm'],1931,,"['https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/ct003853.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/ct003853.gif#h=150&w=186', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd410:g4104:g4104c:ct003853/full/pct:12.5/0/default.jpg#h=860&w=1067', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd410:g4104:g4104c:ct003853/full/pct:25/0/default.jpg#h=1721&w=2135']",,"['Includes ""Gangland dictionary.""', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g4104c.ct003853'],,,"[Chicago] : Bruce-Roberts, Inc., [1931], ©1931",['eng'],['Illinois--Chicago'],"['Gangsters--Illinois--Chicago--Maps', 'Crime--Illinois--Chicago--Maps', 'United States--Illinois--Chicago']","A map of Chicago's gangland : from authentic sources, designed to inculcate the most important principles of piety and virtue in young persons and graphically portray the evils and sin of large cities.",['G4104.C6E625 1931 .M3'],,"['Maps', 'Pictorial maps']","['https://www.loc.gov/item/2013586111', 'https://www.loc.gov/item/17727890']",
,['cartographic'],['1 online resource.'],1581,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:6.25/0/default.jpg#h=322&w=444', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:12.5/0/default.jpg#h=645&w=888', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:25/0/default.jpg#h=1290&w=1776', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:50/0/default.jpg#h=2580&w=3552', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:100/0/default.jpg#h=5160&w=7104']",,"['Title devised, in English, by Library staff.', 'Original resource extent: 31 x 44 centimeters.', 'Original resource at: University of Texas Libraries.', 'Content in Central Nahuatl and Spanish.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.502'],,"['Relaciones Geográficas of Mexico and Guatemala, 1577-1585, Joaquín García Icazbalceta Manuscript Collection']","[place of publication not identified] : [publisher not identified], 1581.","['nah', 'spa']",,"['Mexico--Puebla--Cholula', '1581', 'Art, Mexican', 'Aztec art', 'Manuscript maps', 'New Spain', 'Pictorial maps', 'Spain--Colonies']","Cholula, Tlaxcala, Mexico.",,"['This map from Cholula in the present-day state of Puebla, Mexico, is from the Relaciones Geográficas collection in the Benson Latin American Collection at the University of Texas at Austin. Dating from between 1578 and 1586, the Relaciones Geográficas are responses to a questionnaire initiated by the Spanish crown in 1577, requesting information about Spanish-held territories in the Americas. The questionnaires covered such topics as demographics, political administration, languages spoken, physical terrain, and vegetation. The crown received 191 responses to these questionnaires. Of the 167 responses known to exist, 43 are in the Benson Latin American Collection. The others are held at the Archivo General de Indias, Seville, and the Real Academia de la Historia, Madrid. The relaciones contain important historical, cultural, and geographical information about New Spain during the 16th century. Many of the questionnaires are accompanied by maps and pictures. These both convey information about such topics as the colonial economy and the spread of European religion in New Spain and are artifacts for the study of the history of Latin American art and manuscript painting. This map dates from 1581 and has glosses in Nahuatl, the language of the Aztecs, and in Spanish.']",,,
"['萊州府昌邑縣城垣圖.', 'Map of Changyi County, Laizhou Prefecture']",['cartographic'],['col. map on sheet 43 x 49 cm.'],1888,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824c/ct003297.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824c/ct003297.gif#h=150&w=167', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7824:g7824c:ct003297/full/pct:12.5/0/default.jpg#h=646&w=718', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7824:g7824c:ct003297/full/pct:25/0/default.jpg#h=1292&w=1436']",,"['Scale ca. 1:5,000.', 'Title from verso.', 'Pictorial map.', 'Pen-and-ink and watercolor.', 'Hummel purchase 1930, no. 28.', 'Available also through the Library of Congress Web site as a raster image.', 'Previous call number: G7824.C435A5 1850 .L3 Vault', 'AACR2: 650/2; 700']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7824c.ct003297'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,"[After Qing Guangxu 14 nian, 1888]",['chi'],['Changyi Shi (China)'],"['Changyi Shi (China)--Maps', 'China--Changyi Shi']",Laizhou Fu Changyi Xian cheng yuan tu.,['G7824.C435A5 1888 .L3'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005051', 'https://www.loc.gov/item/5403622']",
