Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic,col. map 47 x 63 cm.,1908,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822z/ct003289.gif,"Scale ca. 1:20,000./Relief shown pictorially./Pictorial map./Shows garrison troops, garrison posts, roads connecting various stations in walled city of Zhaotong Fu, Yunnan Province./Hummel purchase 1930, no. 27./Available also through the Library of Congress Web site as a raster image./Previous call number: G7822.Z4A5 1820 .Z4 Vault/AACR2",http://hdl.loc.gov/loc.gmd/g7822z.ct003289,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1908 and 1911],chi,China--Zhaotong Diqu/Zhaotong Diqu (China),Zhaotong Diqu (China)--Maps/Fortification--China--Zhaotong Diqu--Maps/China--Zhaotong Diqu,Zhaotong Fu yu tu.
cartographic,1 ms. map : col. ; 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823l/ct003378.gif,"Scale ca. 1:25,000./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes text./Hummel purchase 1934, no. 25./Previous call number: G7823.L8C3 1767 .Y6 Vault Shelf/AACR2: 700/1",http://hdl.loc.gov/loc.gmd/g7823l.ct003378,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Luoning Xian/Luoning Xian (China),Rivers--China--Luoning Xian--Maps/Luoning Xian (China)--Maps/China--Luoning Xian,Yongning Xian he tu.
cartographic,4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.,1697,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif,"Scales differ./Manuscript on silk./Relief shown pictorially./Pictorial map./Bird's-eye view./Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia./Available also through the Library of Congress Web site as a raster image./Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia./Hummel purchase 1930, no. 6./AACR2",http://hdl.loc.gov/loc.gmd/g7801r.ct002202a/http://hdl.loc.gov/loc.gmd/g7801r.ct002202b/http://hdl.loc.gov/loc.gmd/g7801r.ct002202c/http://hdl.loc.gov/loc.gmd/g7801r.ct002202d,,[Between 1697 and 1722],chi,"East Asia/Heihe Shi (China)/Siberia, Eastern (Russia)/Taiwan/Inner Mongolia (China)","Fortification--East Asia--Maps--Early works to 1800/Heihe Shi (China)--Maps--Early works to 1800/Siberia, Eastern (Russia)--Maps--Early works to 1800/Taiwan--Maps--Early works to 1800/Inner Mongolia (China)--Maps--Early works to 1800/East Asia/China--Heihe Shi/Russia--Siberia, Eastern/China--Inner Mongolia/Taiwan","[Aihun, Luosha, Taiwan, Nei Menggu tu]"
cartographic,col. map on sheet 43 x 49 cm.,1888,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824c/ct003297.gif,"Scale ca. 1:5,000./Title from verso./Pictorial map./Pen-and-ink and watercolor./Hummel purchase 1930, no. 28./Available also through the Library of Congress Web site as a raster image./Previous call number: G7824.C435A5 1850 .L3 Vault/AACR2: 650/2; 700",http://hdl.loc.gov/loc.gmd/g7824c.ct003297,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.","[After Qing Guangxu 14 nian, 1888]",chi,Changyi Shi (China),Changyi Shi (China)--Maps/China--Changyi Shi,Laizhou Fu Changyi Xian cheng yuan tu.
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003370.gif,"Scale ca. 1:25,000./Cover title./Labels pasted on to show physical features./Manuscript on silk./Imperfect: text incomplete./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes incomplete text./Hummel purchase 1934, no. 21./Previous call number: G7823.G6C3 1767 .G6 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823g.ct003370,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,"China--Gong Xian (Henan Sheng)/Gong Xian (Henan Sheng, China)","Rivers--China--Gong Xian (Henan Sheng)--Maps/Gong Xian (Henan Sheng, China)--Maps/China--Henan Sheng--Gong Xian",Gong Xian he tu.
cartographic,col. map 49 x 85 cm. on scroll.,1881,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822y/ct003303.gif,"Scale not given./Title pasted on verso./Relief shown pictorially./Pictorial map./Brush-and-ink and watercolor./Shows the course of the Yellow River from Shouzhang Xian and Yanggu Xian to the sea in Lijin Xian, Shandong Province./Available also through the Library of Congress Web site as a raster image./Hummel purchase 1930, no. 22./Previous call number: G7822.Y4A5 1899 .S5 Vault Shelf/AACR2: 651/1; 650/2",http://hdl.loc.gov/loc.gmd/g7822y.ct003303,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[After 1881],chi,Yellow River (China),Yellow River (China)--Maps/China--Yellow River,Shandong Sheng Huang He tu.
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823d/ct003307.gif,"Scale ca. 1:25,000./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Shows rivers, roads, towns in Dengfeng Xian, Henan Province./Relief shown pictorially./Pictorial map./Hummel purchase 1934, no. 30./Available also through the Library of Congress Web site as a raster image./Includes text./AACR2/Previous Call number:  G7823.D3C3 1767 .D3",http://hdl.loc.gov/loc.gmd/g7823d.ct003307,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Dengfeng Xian/Dengfeng Xian (China),Rivers--China--Dengfeng Xian--Maps/Dengfeng Xian (China)--Maps/China--Dengfeng Xian,Dengfeng Xian he tu.
cartographic,col. map 80 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823h/ct003305a.gif,"Scale ca. 1:180,000./Cover title./Manuscript on silk./Relief shown pictorially./Labels pasted on to show physical features./Oriented with north to the bottom./Pictorial map./Hummel purchase 1934, no. 20./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7823.H33C3 1767 .H3 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823h.ct003305a/http://hdl.loc.gov/loc.gmd/g7823h.ct003305b,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Henan Sheng/Henan Sheng (China),Rivers--China--Henan Sheng--Maps/Henan Sheng (China)--Maps/China--Henan Sheng,Henan Fu he tu.
cartographic,col. map 38 x 183 cm. on scroll.,1750,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822y/ct003437.gif,"Scale not given./Title pasted on verso./Manuscript on silk./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Shows lower portion of the Yellow River in Jiangsu Province./Hummel purchase 1930, no. 21./Available also through the Library of Congress Web site as a raster image./Prev. call no.: G7822.Y4A5 1753 .H8  Vault Shelf/AACR2: 651/1; 650/2",http://hdl.loc.gov/loc.gmd/g7822y.ct003437,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.","[Qianlong 15 nian, 1750?]",chi,Yellow River (China),Yellow River (China)--Maps--Early works to 1800/China--Yellow River,[Huang He nan he tu].
cartographic,"1 map : color, mounted on cloth backing ; 199 x 153 cm",1931,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7821/g7821a/ct007520.gif,Relief shown pictorially./Includes illustrations./Insets: January isotherms -- July isotherms./LC Copy: Sectioned to 16 panels to enable folding./Available also through the Library of Congress Web site as a raster image.,http://hdl.loc.gov/loc.gmd/g7821a.ct007520,"Primakoff, G., cartographer./Diakoff, John A., compiler./Sergeeff, P. engraver.","[Harbin] : Northern Trading Co. Ltd. & Mr. V.F. Yao-hsiun, 1931., [Harbin] : Printed by the Lithography of the Northern Trading Co., Ltd.",eng/chi,China,China--Maps/China,Xiang xing Zhonghua Minguo ren wu yu di quan tu = Map of China
