Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic,"1 map on 2 sheets : ms., col., mounted on 2 scrolls ; 3,575 x 26 cm., sheets 1,722 x 26 cm. and 1,853 x 26 cm.",17uu,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7964m/g7964tm/gct00271a/ca000001.gif,"Shows road between Edo (Tokyo) to Kyoto./""1-bu o motte 1-chō ni ateru.""/Pictorial map./Relief shown pictorially./Title from title piece mounted on scroll./Pen-and-ink and watercolor./Orientation varies./Worm holes in the map./Stamped on: Kantōkaku [?]; possibly owned by Matsudaira Yorihiro, 1703-1763./Not listed in Kokusho sōmokuroku and Kotenseki sōgō mokuroku; Kokusho sōmokuroku v. 6, p. 14 (Tōkaidō bunken ezu, 5-jō; variants: Tōkaidō kōmoku bunken no zu, Tōkaidō bunken no zu; auth. Ochikochi Dōin cho, Hishikawa Moronobu ga, Genroku 3 [1690] kan)./Available also through the Library of Congress Web site as a raster image.",http://hdl.loc.gov/loc.gmd/g7964tm.gct00271a/http://hdl.loc.gov/loc.gmd/g7964tm.gct00271b,"Ochikochi Dōin, active 17th century./Hishikawa, Moronobu, approximately 1618-approximately 1694.","[Japan : s.n., 17--?]",jpn,Japan--Tokai Region/Japan--Kyōto Region/Tokai Region (Japan)/Kyoto Region (Japan),Roads--Japan--Tokai Region--Maps/Roads--Japan--Kyōto Region--Maps/Tokai Region (Japan)--Maps/Kyoto Region (Japan)--Maps/Japan--Tokyo Region/Japan--Kyōto Region,Tōkaidō bunken ezu
cartographic,1 map ; 171 x 122 cm. fold. in cover 22 x 16 cm. fold. in case 23 x 16 cm.,1741,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011900.gif,"Scale not given./Cover title./Wood block print./""Jōkyō 3-nen [1686] kaihan.""/Relief shown pictorially./Pictorial map./Shows selected landowners and points of interest./Includes text and distance chart./Available also through the Library of Congress Web site as a raster image./Vault/AACR2: 650/1; 651/2",https://hdl.loc.gov/loc.gmd/g7964k.ct011900,"Hayashi, Yoshinaga.","[Kyoto] : Hayashi Yoshinaga, Kanpō 1 [1741]",jpn,Japan--Kyoto/Kyoto (Japan),Real property--Japan--Kyoto--Maps/Kyoto (Japan)--Maps/Japan--Kyoto,Kyōto ōezu
cartographic,col. map on sheet 99 x 129 cm.,1816,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7963/g7963s/ct001265.gif,Title supplied./Map covers Mt. Fuji and surroundings in Shizuoka-ken./Manuscript./Oriented with north to the left./Relief shown pictorially./Japanese./Label attached to map: D. Copy of reduced map of Inō (71 years ago)./Available also through the Library of Congress Web site as a raster image./Vault/AACR2/Covering area is a part of this map but description on map differs from: 大日本沿海輿地全図第 100図 甲斐・駿河 (甲斐・山中村・南部宿・駿河・富士山・佐野村).,http://hdl.loc.gov/loc.gmd/g7963s.ct001265,"Inō, Tadataka, 1745-1818.","[Japan : publisher not identified, 1816?]",jpn,Shizuoka-ken (Japan),Shizuoka-ken (Japan)--Maps,[Suruga no Kuni zu] : D. Copy of reduced map of Inō (71 years ago).
cartographic,1 map ; 180 x 140 cm. on 2 sheets 94 x 145 cm. fold. in cover 29 x 18 cm on 2 sheets 93 x 144 cm. fold. in cover 29 x 18 cm.,1844,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964o/ct011894.gif,"Wood block print./""Fujimura Naoyuki, Tenpō 15.""/Oriented with north to the left./Relief shown pictorially./Japanese./Pictorial map./Includes distance chart and text./Available also through the Library of Congress Web site as a raster image./Vault/AACR2: 100; 651/""天明 9, 天保15年再鐫.""/""藤村直之訂正・岡田玉山元圖・吉田政章再写・樋口与兵衛鐫字・河内屋太介他.""",https://hdl.loc.gov/loc.gmd/g7964o.ct011894/https://hdl.loc.gov/loc.gmd/g7964o.ct011916,"Okada, Gyokuzan, 1737-ca.1812./Fujimura, Naoyuki, active 19th century.","Ōsaka : Itamiya Zenbē, Tenpō 15 [1844]",jpn,Osaka (Japan),Osaka (Japan)--Maps,Sesshū Ōsaka zenzu
cartographic,1 online resource.,1672,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:3.125/0/default.jpg,"Title devised, in English, by Library staff./Original resource extent: 2 scrolls ; 41 centimeters./Original resource at: National Diet Library./Content in Japanese./Description based on data extracted from World Digital Library, which may be extracted from partner institutions.",https://hdl.loc.gov/loc.wdl/wdl.14435,,"Kyoto : Nishida Shobee, 1672.",jpn,,Japan/1672/Description and travel/Pictorial maps,Map of the Sea and Land Routes from Edo to Nagasaki.
cartographic,"1 map : col. ; 50 x 72 cm., folded to 17 x 13 cm.",1864,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011896.gif,"Street map of Kyoto, showing temples, shrines, palaces, mansions, etc./Relief shown pictorially in surrounding area./Japanese./Panel title./Oriented with north to the left./Includes col. ill./Available also through the Library of Congress Web site as a raster image./Acquisitions control no. 96-11h",https://hdl.loc.gov/loc.gmd/g7964k.ct011896,,"[Kyoto? : s.n., 1864?]",jpn,Kyoto (Japan),"Kyoto (Japan)--Maps/Kyoto (Japan)--Buildings, structures, etc.--Maps/Japan--Kyoto",Genji shinsen kōto saikenzu.
cartographic,col. map on sheet 54 x 63 cm. fold. to 16 x 13 cm.,1804,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct002120.gif,"Title from verso./Manuscript./Oriented with north toward the upper right./Relief shown pictorially./Japanese./Pictorial map./Shows villages in the province of Musashi which later grew together to form city of Edo, during the Chōroku period (1457-1459)./Includes text dated 1778./Available also through the Library of Congress Web site as a raster image./Vault/AACR2/Note hand-writing in red ink 安永 7年 [1778], 文化元年 [1804] 狩野〓川家蔵.""",http://hdl.loc.gov/loc.gmd/g7964t.ct002120,,[Japan : publisher not identified] Bunka 1 [1804?],jpn,Tokyo (Japan)/Japan,Tokyo (Japan)--Maps/Japan--History--1333-1600--Maps/Manuscript maps/Japan--Tokyo,Chōroku Edo zu utsushi.
cartographic,col. map 116 x 131 cm. on 2 sheets 123 x 69 cm.,1860,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct011888.gif,"Title inferred from National Diet Library OPAC, March, 27, 2020./Created original map in Genroku 9 i.e. 1696/Oriented with north to the right./Wood block print./LC copy annotated in black ink for points of interest and historic events./Relief shown pictorially./Cadastral map showing landowners./Japanese./Includes distance chart and list of daily events in Edo for 1860./Available also through the Library of Congress Web site as a raster image./Vault/AACR2",https://hdl.loc.gov/loc.gmd/g7964t.ct011888,"Takai, Ranzan, 1762-1838.","Edo : Izumoji Manjirō : Okadaya Kashichi, Man'en 1 [1860]",jpn,Japan--Tokyo/Tokyo (Japan),Real property--Japan--Tokyo--Maps/Tokyo (Japan)--Maps/Japan--Tokyo,Oedo ōezu
cartographic,1 online resource.,1686,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:6:wdl_14436:ezu7/full/pct:3.125/0/default.jpg,"Title devised, in English, by Library staff./Original resource extent: 1 sheet ; 166 x 125 centimeters./Original resource at: National Diet Library./Content in Japanese./Description based on data extracted from World Digital Library, which may be extracted from partner institutions.",https://hdl.loc.gov/loc.wdl/wdl.14436,,"Kyoto : Hayashi Kichiei, 1686.",jpn,,Japan--Kyoto/1686/Description and travel/Pictorial maps,Kyōto Pictorial.
cartographic,map 82 x 118 cm.,1800,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct011915.gif,Wood block print./Reprint of 1630 or 1631 map./Oriented with north toward the upper right./Relief shown pictorially./LC copy imperfect: Has numerous holes./LC copy annotated in black ink on verso: Ōmukashi Edo ezu./LC copy annotated to show text and place names in repaired portion of map./Japanese./Pictorial map./Cadastral map showing land ownership in central Tokyo./Includes distance chart./Available also through the Library of Congress Web site as a raster image./Vault/AACR2,https://hdl.loc.gov/loc.gmd/g7964t.ct011915,,"[Japan] : [publisher not identified], [1800-1899?]",jpn,Japan--Tokyo/Tokyo (Japan),Real property--Japan--Tokyo--Maps/Tokyo (Japan)--Maps/Japan--Tokyo,Bushū Toshima-gun Edo shōzu
