Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic/collection,"43 map sheets in 23 folders in 1 drawer : some color, some photocopies ; various sizes",1757,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:39:me-039:me-039-00001/full/pct:12.5/0/default.jpg,"Most maps in this collection before 1800 are photocopies or facsimiles./This record covers single maps covering counties of Maine, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. These maps show  may also show various subjects, such as roads, topography, geology, hydrology, and recreation and tourism. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.me-039,,"[Various places] : [various publishers], [approximately 1757 to 1958]",eng,Maine/Kennebec County (Me.)/Knox County (Me.)/Lincoln County (Me.),Counties--Maine--Maps/Roads--Maine--Maps/Kennebec County (Me.)--Maps/Knox County (Me.)--Maps/Lincoln County (Me.)--Maps/United States--Maine,[Maps of Maine--counties Kennebec 1890--L]
cartographic/collection,"41 map sheets in 37 folders in 1 drawer : some color, some photocopies ; various sizes",1927,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-054/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-054,,"[Various places] : [various publishers], [1927-1967]",eng,California,California--Maps/United States--California,[Maps of California--various subjects Pi-Por]
cartographic,1 map : col. ; 57 x 84 cm.,1946,https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701j/ct003099.gif,Pictorial map./Shows scenes of land use and farming superimposed on a map of the United States./Available also through the Library of Congress Web site as a raster image.,http://hdl.loc.gov/loc.gmd/g3701j.ct003099,"Sample, Paul, 1896-1974./Associated American Artists.","[New York : Associated American Artists], c1946.",eng,United States,"Agriculture--United States--Maps/Land use, Rural--United States--Maps/Natural resources--United States--Maps/United States","Paul Sample's America, its soil"
cartographic,"1 manuscript map : color, mounted on paper ; 55 x 99 cm + 1 manuscript drawing (color, mounted on cloth and laminated ; 39 x 52 cm)",1845,https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif,"Shows buildings pictorially./Pen-and-ink and watercolor./Oriented with north to the right./Folded vertically, with losses in the upper half./Profiles on verso: The hill east & west -- The hill north & south -- Shape of the road from one bridge to the other./Accompanying drawing shows three Shaker buildings, annotated, probably incorrectly, in pencil in lower margin as: 1. Hancock Mass. ; 2. Mt. Lebanon, South family, NY. ; 3. Mt. Lebanon, NY., Shaker meeting house./Available also through the Library of Congress Web site as a raster image.",http://hdl.loc.gov/loc.gmd/g3734a.ct003779r/http://hdl.loc.gov/loc.gmd/g3734a.ct003779v/http://hdl.loc.gov/loc.gmd/g3734a.ct003780,"Bussell, Joshua H., 1816-1900, cartographer.","[Alfred, Maine] : Joshua H. Bussell, August 28, 1845.",eng,Maine--Alfred/Alfred (Me. : Town),Shaker architecture--Maine--Alfred--Maps/Shaker architecture--Pictorial works/Alfred (Me. : Town)--Maps/United States--Maine--Alfred (Town),"A plan of Alfred, Maine"
cartographic,1 map : color ; 48 x 63 cm,1931,https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/ct003853.gif,"Includes ""Gangland dictionary.""/Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/g4104c.ct003853,,"[Chicago] : Bruce-Roberts, Inc., [1931], ©1931",eng,Illinois--Chicago,Gangsters--Illinois--Chicago--Maps/Crime--Illinois--Chicago--Maps/United States--Illinois--Chicago,"A map of Chicago's gangland : from authentic sources, designed to inculcate the most important principles of piety and virtue in young persons and graphically portray the evils and sin of large cities."
cartographic,1 map ; 26 x 33 cm.,1828,https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701a/ct003947.gif,At lower right: Atlantic Souvenir for 1829./Available also through the Library of Congress Web site as a raster image./Vendor: Bernard J. Shapero Books (London)/Acquisitions control no. 2007-228,http://hdl.loc.gov/loc.gmd/g3701a.ct003947,"Imbert, Anthony, 1794 or 1795-1834.","N[ew] Y[ork] : Lithography of Imbert, [1828?]",eng,United States,United States--Maps/United States--Territorial expansion--Maps/Indians of North America--History--Maps/United States,"A new map of the United States with the additional territories : on an improved plan, exhibiting a view of the Rocky Mountains surveyed by a company of Winebago [i.e. Winnebago] Indians in 1828."
cartographic/collection,"118 map sheets in 56 folders in 1 drawer : some color, some photocopies ; various sizes",1898,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:84:pa-184:pa-184-00001/full/pct:12.5/0/default.jpg,"This record covers single maps of Pittsburgh showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-184,,"[Various places] : [various publishers], [approximately 1898-1966]",eng,Pennsylvania--Pittsburgh Metropolitan Area/Pittsburgh (Pa.),Roads--Pennsylvania--Pittsburgh Metropolitan Area--Maps/Pittsburgh (Pa.)--Maps/United States--Pennsylvania,[Maps of Pennsylvania--Pittsburgh subjects Pl--Roads]
cartographic,1 map ; 41 x 22 cm.,1914,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004633.gif,F24620 U.S. Copyright Office/Covers central Washington and adjacent part of Arlington (Va.)./Selected points of interest shown pictorially./Includes notes and ill./LC copy laminated and mounted on cloth backing./Available also through the Library of Congress Web site as a raster image./DCP,http://hdl.loc.gov/loc.gmd/g3851e.ct004633,Capital Sight-Seeing Co.,"[Washington?] : Capital Sight-Seeing Co., c1914.",eng,Washington (D.C.),Washington (D.C.)--Maps/United States--District of Columbia--Washington,"Pictorial map of Washington, D.C."
cartographic,"1 map ; 21 x 38 cm., folded in cover 21 x 11 cm. + 1 text (14 p. : ill. ; 21 cm.)",1914,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004632.gif,"Selected points of interest shown pictorially./Covers city center./Cover title: Free map and guide to Washington : see Washington right./""Copyright, 1914, by J.F. Jarvis.""/Timetable correction slip tipped into accompanying text./Text, directories, and ill. on verso./Available also through the Library of Congress Web site as a raster image./DCP",http://hdl.loc.gov/loc.gmd/g3851e.ct004632,"Jarvis, J. F. (John F.), 1850-/Royal Blue Line Company.","Washington, D.C. : The Company, c1914.",eng,Washington (D.C.),Washington (D.C.)--Maps/Central business districts--Washington (D.C.)--Maps/United States--District of Columbia--Washington,Pictorial map of Washington
cartographic/collection,"27 map sheets in 20 folders in 1 drawer : some color, some photocopies ; various sizes",1941,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-053/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-053,,"[Various places] : [various publishers], [1941-1963]",eng,California,California--Maps/United States--California,[Maps of California--various subjects Physical 1941-1963]
