title,image,url
Routes of the Interborough Rapid Transit Company.,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct002210.gif,https://www.loc.gov/resource/g3804n.ct002210/
Maps showing the Florida Transit and Peninsula Rail Road and its connections.,https://tile.loc.gov/storage-services/service/gmd/gmd393/g3931/g3931p/rr004080.gif,https://www.loc.gov/resource/g3931p.rr004080/
[Rapid transit map of Manhattan and adjacent districts of New York City].,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006628.gif,https://www.loc.gov/resource/g3804n.ct006628/
"Copy of map of Ellen Smith 10,000 acres, Raleigh Co., W. Va. from actual transit survey",https://tile.loc.gov/storage-services/service/gmd/gmd389/g3893/g3893r/cwh00324.gif,https://www.loc.gov/resource/g3893r.cwh00324/
"Taunton's citizens' and travelers' rapid transit map and time table of the Metropolitan and New York elevated railways : showing, on a new plan, the railways with up and down-town tracks ... ferries, etc., etc.",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006631.gif,https://www.loc.gov/resource/g3804n.ct006631/
"Taunton's citizens' and travelers' rapid transit map and time table of the Metropolitan and New York elevated railways : showing, on a new plan, the railways with up and down-town tracks ... ferries, etc., etc.",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006633.gif,https://www.loc.gov/resource/g3804n.ct006633/
"Union des deux ocʹeans Atlantique et Pacifique, par le transit ouvert à travers la rʹepublique De Nicaragua : carte dʹetaillʹee des cinq dʹepartements avec indication des principaux tracʹes du Canal Interocʹeanique ...",https://tile.loc.gov/storage-services/service/gmd/gmd4/g4852/g4852n/ma001019.gif,https://www.loc.gov/resource/g4852n.ma001019/
"Boston National Historical Park, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006009.gif,https://www.loc.gov/resource/g3764b.ct006009/
"Boston National Historical Park, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006008.gif,https://www.loc.gov/resource/g3764b.ct006008/
"Boston National Historical Park, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006010.gif,https://www.loc.gov/resource/g3764b.ct006010/
"Boston National Historical Park, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006007.gif,https://www.loc.gov/resource/g3764b.ct006007/
"Map of the city of Washington : souvenir of March 4th, 1889",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004642.gif,https://www.loc.gov/resource/g3851e.ct004642/
"The Brooklyn Hills Improvement Co.'s plat no. 1 : property at Woodhaven, L.I. ; Brooklyn Hills Improvement Co.'s map showing relative position of property to prominent points in cities of New York & Brooklyn",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006618r.gif,https://www.loc.gov/resource/g3804n.ct006618r/
"The Brooklyn Hills Improvement Co.'s plat no. 1 : property at Woodhaven, L.I. ; Brooklyn Hills Improvement Co.'s map showing relative position of property to prominent points in cities of New York & Brooklyn",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006618v.gif,https://www.loc.gov/resource/g3804n.ct006618v/
Plan of Baltimore.,https://tile.loc.gov/storage-services/service/gmd/gmd384/g3844/g3844b/wd000023.gif,https://www.loc.gov/resource/g3844b.wd000023/
[Maps of Pennsylvania--Philadelphia subjects Transportation 1941-1958--U],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:67:pa-167:pa-167-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.pa-167/
[Maps of Pennsylvania--Philadelphia subjects Roae-Transportation to 1940],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:66:pa-166:pa-166-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.pa-166/
"A new map of the States of California and Nevada, exhibiting the rivers, lakes, bays, and islands, with the principal towns, roads, railroads, and transit routes to the silver mining districts; also meridian, standard, range and township lines as established; to which is added the county boundaries and United States land districts.",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4360/g4360/ct007805.gif,https://www.loc.gov/resource/g4360.ct007805/
A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Point Hicks to Black Head.,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:2:wdl_06772:am005455/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_06772/
A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Black Head to Cape Morton.,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_06773/
A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Cape Morton to Cape Palmerston.,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_06774/
A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Cape Palmerston to Cape Flattery.,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_06775/
[Maps of Pennsylvania--Pittsburgh subjects S-Vic],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:85:pa-185:pa-185-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.pa-185/
"The geography of the great solar eclipse of July 14 MDCCXLVIII : exhibiting an accurate map of all parts of the Earth in which it will be visible, with the North Pole, according to the latest discoveries",https://tile.loc.gov/storage-services/service/gmd/gmd3/g3211/g3211b/ct003799.gif,https://www.loc.gov/resource/g3211b.ct003799/
"New map of New York City : from the latest surveys showing all the ferries and steamship docks, elevated, cable, and cross town car lines",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006585.gif,https://www.loc.gov/resource/g3804n.ct006585/
"Planta do Rio de Janeiro com os horarios dos bondes, estradas de ferro, barcas, estradas de rodagem etc",https://tile.loc.gov/storage-services/service/gmd/gmd5/g5404/g5404r/ct003655r.gif,https://www.loc.gov/resource/g5404r.ct003655r/
Karmannyĭ Atlas. Sploshnoĭ parovoĭ put' cherez Azii︠u︡ k velikomu okeanu. Velikai︠a︡ Sibirskai︠a︡  zheleznai︠a︡ doroga. Amurskoe parokhodstvo. Ussuriĭskai︠a︡ zheleznai︠a︡ doroga.,https://tile.loc.gov/image-services/iiif/service:gdc:gdclccn:20:18:69:41:73:2018694173:0001/full/pct:6.25/0/default.jpg,https://www.loc.gov/resource/gdclccn.2018694173/
"Map of Philadelphia showing population in year 1920, as enumerated in U.S. Census, and existing electric railway system",https://tile.loc.gov/storage-services/service/gmd/gmd382/g3824/g3824p/ct008336.gif,https://www.loc.gov/resource/g3824p.ct008336/
"Map of the European and North American Railway, showing its connection with the railways of the United States & Canada; made by direction of His Excellency John Hubbard, Governor of Maine under the resolve of Aug. 20th 1850.",https://tile.loc.gov/storage-services/service/gmd/gmd372/g3721/g3721p/rr001050.gif,https://www.loc.gov/resource/g3721p.rr001050/
The Alaska Line.,https://tile.loc.gov/storage-services/service/gmd/gmd437/g4371/g4371a/mf000037.gif,https://www.loc.gov/resource/g4371a.mf000037/
Socio-economic atlas of Myanmar,https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/20/71/80/56/2020718056/2020718056.gif,https://www.loc.gov/resource/gdcebookspublic.2020718056/
