call_number,contributors,access_advisory,notes,rights_advisory,digital_id,genre,location,image_url,repository,date,language,other_title,title,reproduction_number,created_published,source_collection,summary,format,medium,translated_title,number_former_id,subjects
['G2286.G1'],"['Kraas, Frauke, cartographer, author', 'Myint, Aye Aye, author', 'Spohner, Regine, 1963- cartographer, author']",['Unrestricted online access'],"['Relief shown in some maps through shading and gradient tints.', 'Includes bibliographical references (pages 166-187).', 'Description based on print version record; resource not viewed.']",['Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International CC BY-NC-ND 4.0 https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode'],['https://hdl.loc.gov/loc.gdc/gdcebookspublic.2020718056'],"['Atlases', 'Thematic maps']",['Burma'],"['https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/20/71/80/56/2020718056/2020718056.gif', 'https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/20/71/80/56/2020718056/2020718056.gif#h=200&w=141']",,2017,['eng'],,Socio-economic atlas of Myanmar,,"Stuttgart : Franz Steiner Verlag, [2017], ©2017",,,['cartographic'],['1 electronic resource (1 atlas (187 pages) )'],,,"['Burma--Economic conditions--Maps', 'Burma--Social conditions--Maps']"
['G3824.P5 coll .M3 drawer 167'],,,"['This record covers single maps of Philadelphia, showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.']",,['https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-167'],['Maps'],"['Pennsylvania--Philadelphia Metropolitan Area', 'Philadelphia (Pa.)']","['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:67:pa-167:pa-167-00001/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:67:pa-167:pa-167-00001/full/pct:12.5/0/default.jpg#h=693&w=467', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:67:pa-167:pa-167-00001/full/pct:25/0/default.jpg#h=1387&w=934']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1821,['eng'],"['Pennsylvania title collection--drawer 167', 'Pennsylvania title collection--Philadelphia subjects Transportation 1941-1958--U']",[Maps of Pennsylvania--Philadelphia subjects Transportation 1941-1958--U],,"[Various places] : [various publishers], [approximately 1821-1958]",,,"['cartographic', 'collection']","['27 map sheets in 22 folders in 1 drawer : some color, some photocopies ; various sizes']",,,"['Local transit--Pennsylvania--Philadelphia Metropolitan Area--Maps', 'Philadelphia (Pa.)--Maps', 'United States--Pennsylvania']"
['G3931.P3 1882 .G15'],"['G.W. & C.B. Colton & Co.', 'Florida Transit and Peninsula Railroad.']",,"['N3698 U.S. Copyright Office', 'Scale 1:1,140,000 and 1:3,800,000.', 'LC Railroad maps, 408', 'Description derived from published bibliography.', 'List gives distances for lines in operation and under construction.', 'Available also through the Library of Congress Web site as a raster image.']",,['http://hdl.loc.gov/loc.gmd/g3931p.rr004080'],,['Florida'],"['https://tile.loc.gov/storage-services/service/gmd/gmd393/g3931/g3931p/rr004080.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd393/g3931/g3931p/rr004080.gif#h=150&w=214', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd393:g3931:g3931p:rr004080/full/pct:12.5/0/default.jpg#h=718&w=1025', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd393:g3931:g3931p:rr004080/full/pct:25/0/default.jpg#h=1437&w=2050']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1882,['eng'],,Maps showing the Florida Transit and Peninsula Rail Road and its connections.,,"New York, 1882.",,"['Maps of southern United States. Main map covers Floria and vicinity and indicates drainage, cities and towns, township and county boundaries, railroads, and the land grant in central Florida. General map shows connections to southern and Gulf states.']",['cartographic'],['col. map 2 maps on 1 sheet 47 x 67 cm.'],,"['https://www.loc.gov/item/98688659', 'https://www.loc.gov/item/5572240']","['Florida Transit and Peninsula Railroad', 'Railroads--Florida--Maps', 'United States--Florida']"
['G3804.N4P1 189- .B7'],"['Brooks Bank Note Co.', 'Broadway Central Hotel (New York, N.Y.)']",,"['Covers Manhattan Island (south of 96th Street) and adjacent cross-river districts.', 'Shows radial distances from City Hall.', 'Imperfect: Laminated.', 'Includes text.', 'Text, ill., and advertisement on verso.', 'Available also through the Library of Congress Web site as a raster image.']",,['http://hdl.loc.gov/loc.gmd/g3804n.ct006585'],,"['New York (State)--New York', 'New York (N.Y.)', 'Manhattan (New York, N.Y.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006585.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006585.gif#h=91&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006585/full/pct:12.5/0/default.jpg#h=846&w=1390', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006585/full/pct:25/0/default.jpg#h=1692&w=2780']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1890,['eng'],['New reference map & guide to New York City :'],"New map of New York City : from the latest surveys showing all the ferries and steamship docks, elevated, cable, and cross town car lines",,"New York : Broadway Central Hotel, Tilly Haynes, proprietor, [189-?]",,,['cartographic'],"['1 map : col. ; 49 x 31 cm., folded to 18 x 10 cm.']",,"['https://www.loc.gov/item/2003630444', 'https://www.loc.gov/item/13180264']","['Local transit--New York (State)--New York--Maps', 'Ferries--New York (State)--New York--Maps', 'New York (N.Y.)--Maps', 'Manhattan (New York, N.Y.)--Maps', 'United States--New York (State)--New York', 'United States--New York (State)--New York--Manhattan']"
['G3764.B6:2B56 1982 .U5'],['United States. National Park Service.'],,"['Aso covers central Boston.', 'Includes text and ancillary map of ""Rapid Transit System.""', 'Text, panoramic view, and col. ill. on verso.', '""GPO: 1982--361-578/177.""', 'Available also through the Library of Congress Web site as a raster image.']",,['http://hdl.loc.gov/loc.gmd/g3764b.ct006010'],['Tourist maps'],"['Massachusetts--Boston', 'Boston National Historical Park (Boston, Mass.)', 'Boston (Mass.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006010.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006010.gif#h=150&w=80', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764b:ct006010/full/pct:12.5/0/default.jpg#h=1179&w=628', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764b:ct006010/full/pct:25/0/default.jpg#h=2358&w=1256']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1982,['eng'],,"Boston National Historical Park, Massachusetts",['024-005-00773-3'],"[Washington] : The Service ; Washington ; For sale by the Supt. of Docs., U.S. G.P.O. [1982]",,,['cartographic'],"['1 map : col. ; 26 x 30 cm., on sheet 40 x 43 cm., folded to 10 x 21 cm.']",,"['https://www.loc.gov/item/83690286', 'https://www.loc.gov/item/5465622']","['Boston National Historical Park (Boston, Mass.)--Maps', 'Subways--Massachusetts--Boston--Maps', 'Boston (Mass.)--Maps', 'United States--Massachusetts--Boston--Boston National Historical Park', 'United States--Massachusetts--Boston']"
['G3824.P6 coll .M3 drawer 185'],,,"['This record covers single maps of Pittsburgh showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.']",,['https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-185'],['Maps'],"['Pennsylvania--Pittsburgh Metropolitan Area', 'Pittsburgh Region (Pa.)', 'Pittsburgh Suburban Area (Pa.)', 'Pittsburgh (Pa.)']","['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:85:pa-185:pa-185-00001/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:85:pa-185:pa-185-00001/full/pct:12.5/0/default.jpg#h=591&w=401', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:85:pa-185:pa-185-00001/full/pct:25/0/default.jpg#h=1182&w=802']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1813,['eng'],"['Alternate supplied title: Pennsylvania title collection--drawer 185', 'Alternate supplied title: Pennsylvania title collection--Pittsburgh subjects S-Vic']",[Maps of Pennsylvania--Pittsburgh subjects S-Vic],,"[Various places] : [various publishers], [approximately 1813-1966]",,,"['cartographic', 'collection']","['65 map sheets in 47 folders in 1 drawer : some color, some photocopies ; various sizes']",,,"['Local transit--Pennsylvania--Pittsburgh Metropolitan Area--Maps', 'Pittsburgh Region (Pa.)--Maps', 'Pittsburgh Suburban Area (Pa.)--Maps', 'Pittsburgh (Pa.)--Maps', 'United States--Pennsylvania']"
['G3764.B6:2B56 1980 .U5'],['United States. National Park Service.'],,"['Also covers central Boston.', 'Includes text and ancillary map of ""Rapid Transit System.""', 'Text, panoramic view, and col. ill. on verso.', '""*GPO: 1980--311-309/23.""', 'Available also through the Library of Congress Web site as a raster image.']",,['http://hdl.loc.gov/loc.gmd/g3764b.ct006007'],['Tourist maps'],"['Massachusetts--Boston', 'Boston National Historical Park (Boston, Mass.)', 'Boston (Mass.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006007.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006007.gif#h=150&w=80', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764b:ct006007/full/pct:12.5/0/default.jpg#h=1175&w=623', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764b:ct006007/full/pct:25/0/default.jpg#h=2351&w=1246']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1980,['eng'],,"Boston National Historical Park, Massachusetts",['024-005-00773-3'],"[Washington?] : The Service ; Washington : For sale by the Supt. of Docs., U.S. G.P.O., [1980]",,,['cartographic'],"['1 map : col. ; 28 x 30 cm., on sheet 40 x 42 cm., folded to 10 x 21 cm.']",,"['https://www.loc.gov/item/83695667', 'https://www.loc.gov/item/5470595']","['Boston National Historical Park (Boston, Mass.)--Maps', 'Boston (Mass.)--Maps', 'Subways--Massachusetts--Boston--Maps', 'United States--Massachusetts--Boston--Boston National Historical Park', 'United States--Massachusetts--Boston']"
['G3804.N4:2W6G46 1888 .B7'],"['Brooklyn Hills Improvement Company.', 'Wells, Jacob.']",,"['Woodside map is black-and-white cadastral map with lot lines/dimensions, lot/block  numbers, and street widths.', '""Relative position"" map is col. map of adjacent parts of Manhattan/Brooklyn/Queens with radial distances from N.Y. City Hall; also shows municipalities and transit routes.', '""Entered according to Act of Congress, in the year 1888, by the Brooklyn Hills Improvement Company, in the office of the Librarian of Congress at Washington.""', 'Imperfect: Fold-lined, torn at fold lines.', 'Includes text.', 'Available also through the Library of Congress Web site as a raster image.']",,"['http://hdl.loc.gov/loc.gmd/g3804n.ct006618r', 'http://hdl.loc.gov/loc.gmd/g3804n.ct006618v']",,"['New York (State)--New York', 'Woodhaven (New York, N.Y.)', 'New York (N.Y.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006618r.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006618r.gif#h=150&w=111', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006618r/full/pct:12.5/0/default.jpg#h=1086&w=800', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006618r/full/pct:25/0/default.jpg#h=2172&w=1601']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1888,['eng'],,"The Brooklyn Hills Improvement Co.'s plat no. 1 : property at Woodhaven, L.I. ; Brooklyn Hills Improvement Co.'s map showing relative position of property to prominent points in cities of New York & Brooklyn",,"New York : Brooklyn Hills Improvement Company, c1888.",,,['cartographic'],"['2 maps on 1 sheet : both sides, 1 col. ; 64 x 43 cm. and 45 x 69 cm., sheet 75 x 56 cm.']",,"['https://www.loc.gov/item/2004625786', 'https://www.loc.gov/item/13668001']","['Woodhaven (New York, N.Y.)--Maps', 'Real property--New York (State)--New York--Maps', 'Local transit--New York (State)--New York--Maps', 'New York (N.Y.)--Administrative and political divisions--Maps', 'United States--New York (State)--New York--Woodhaven', 'United States--New York (State)--New York']"
['G3804.N4P33 1924 .I5'],['Interborough Rapid Transit Company.'],,"['""J.W.G. 3/17/24"".', 'Available also through the Library of Congress Web site as a raster image.']",,['http://hdl.loc.gov/loc.gmd/g3804n.ct002210'],,['New York (State)--New York'],"['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct002210.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct002210.gif#h=150&w=254', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct002210/full/pct:12.5/0/default.jpg#h=697&w=1182', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct002210/full/pct:25/0/default.jpg#h=1394&w=2365']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1924,['eng'],,Routes of the Interborough Rapid Transit Company.,,"[New York : The Company], 1924.",,,['cartographic'],['1 map : col. ; 43 x 73 cm.'],,"['https://www.loc.gov/item/2007630432', 'https://www.loc.gov/item/15090882']","['Subways--New York (State)--New York--Maps', 'Railroads, Elevated--New York (State)--New York--Maps', 'United States--New York (State)--New York']"
['G3824.P5 coll .M3 drawer 166'],,,"['This record covers single maps of Philadelphia, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. These maps show various subjects, including transport, tourism and the Philadelphia vicinity. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.']",,['https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-166'],['Maps'],"['Pennsylvania--Philadelphia Metropolitan Area', 'Philadelphia (Pa.)']","['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:66:pa-166:pa-166-00001/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:66:pa-166:pa-166-00001/full/pct:12.5/0/default.jpg#h=696&w=469', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:66:pa-166:pa-166-00001/full/pct:25/0/default.jpg#h=1393&w=939']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1875,['eng'],"['Pennsylvania title collection--drawer 166', 'Pennsylvania title collection--Roae-Transportation to 1940']",[Maps of Pennsylvania--Philadelphia subjects Roae-Transportation to 1940],,"[Various places] : [various publishers], [from approximately 1875 to 1940]",,,"['cartographic', 'collection']","['50 map sheets in 27 folders in 1 drawer : some color, some photocopies ; various sizes']",,,"['Sanitation--Pennsylvania--Philadelphia Metropolitan Area--Maps', 'Local transit--Pennsylvania--Philadelphia Metropolitan Area--Maps', 'Philadelphia (Pa.)--Maps', 'United States--Pennsylvania']"
